,deployment_signal
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0.013333333
1727,0.026666667
1728,0.04
1729,0.053333333
1730,0.066666667
1731,0.08
1732,0.093333333
1733,0.106666667
1734,0.12
1735,0.133333333
1736,0.146666667
1737,0.16
1738,0.173333333
1739,0.186666667
1740,0.2
1741,0.213333333
1742,0.226666667
1743,0.24
1744,0.253333333
1745,0.266666667
1746,0.28
1747,0.293333333
1748,0.306666667
1749,0.32
1750,0.333333333
1751,0.346666667
1752,0.36
1753,0.373333333
1754,0.386666667
1755,0.4
1756,0.413333333
1757,0.426666667
1758,0.44
1759,0.453333333
1760,0.466666667
1761,0.48
1762,0.493333333
1763,0.506666667
1764,0.52
1765,0.533333333
1766,0.546666667
1767,0.56
1768,0.573333333
1769,0.586666667
1770,0.6
1771,0.613333333
1772,0.626666667
1773,0.64
1774,0.653333333
1775,0.666666667
1776,0.68
1777,0.693333333
1778,0.706666667
1779,0.72
1780,0.733333333
1781,0.746666667
1782,0.76
1783,0.773333333
1784,0.786666667
1785,0.8
1786,0.813333333
1787,0.826666667
1788,0.84
1789,0.853333333
1790,0.866666667
1791,0.88
1792,0.893333333
1793,0.906666667
1794,0.92
1795,0.933333333
1796,0.946666667
1797,0.96
1798,0.973333333
1799,0.986666667
1800,1.186666667
1801,1.385955373
1802,1.585244079
1803,1.781266118
1804,1.930804824
1805,1.87591353
1806,1.812342236
1807,1.748770942
1808,1.700109648
1809,1.655528354
1810,1.61391706
1811,1.569145766
1812,1.518864472
1813,1.487243178
1814,1.461741884
1815,1.44191059
1816,1.414969296
1817,1.375528002
1818,1.312586708
1819,1.242485414
1820,1.07111412
1821,0.985062826
1822,0.903191532
1823,0.821310238
1824,0.775488944
1825,0.68817765
1826,0.607276356
1827,0.526375062
1828,0.460963768
1829,0.398132474
1830,0.33839118
1831,0.277839886
1832,0.214938592
1833,0.160707298
1834,0.121926004
1835,0.10097471
1836,0.118673416
1837,0.154972122
1838,0.193390828
1839,0.231819534
1840,0.27023824
1841,0.308656946
1842,0.331525652
1843,0.351834358
1844,0.372133064
1845,0.38515177
1846,0.386730476
1847,0.361769182
1848,0.315497888
1849,0.257666594
1850,0.1998253
1851,0.141994006
1852,0.094782712
1853,0.049341418
1854,0.006730124
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0.014689419
1881,0.028660713
1882,0.036312007
1883,0.043973301
1884,0.051624595
1885,0.052835889
1886,0.052997183
1887,0.073168477
1888,0.096689771
1889,0.142811065
1890,0.19264236
1891,0.220903654
1892,0.243594948
1893,0.262806242
1894,0.282017536
1895,0.30122883
1896,0.325050124
1897,0.332771418
1898,0.327622712
1899,0.297104006
1900,0.2476753
1901,0.188036594
1902,0.128397888
1903,0.072229182
1904,0.016620476
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0.019330828
1913,0.150232122
1914,0.246113416
1915,0.34199471
1916,0.437866004
1917,0.527177298
1918,0.604778592
1919,0.660349886
1920,0.69184118
1921,0.694862474
1922,0.672563768
1923,0.639085062
1924,0.591826356
1925,0.54635765
1926,0.504098944
1927,0.466540238
1928,0.437301532
1929,0.408062826
1930,0.38405412
1931,0.369435414
1932,0.354816708
1933,0.340198002
1934,0.344979296
1935,0.35942059
1936,0.385281884
1937,0.411153178
1938,0.434874472
1939,0.454725766
1940,0.47458706
1941,0.484248354
1942,0.475579648
1943,0.465700942
1944,0.453662236
1945,0.44162353
1946,0.422924824
1947,0.357526118
1948,0.300737412
1949,0.234908706
1950,0.15281
1951,0.07
1952,0.00472
1953,1.00E-05
1954,3.00E-05
1955,4.00E-05
1956,6.00E-05
1957,8.00E-05
1958,9.00E-05
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0.00668
1983,0.0583
1984,0.1412
1985,0.26396
1986,0.39799
1987,0.55598
1988,0.72822
1989,0.90196
1990,1.0757
1991,1.24944
1992,1.40415
1993,1.52294
1994,1.65641
1995,1.78328
1996,1.84959
1997,1.8684
1998,1.90452
1999,1.9263
2000,1.94808
2001,1.96451
2002,1.97244
2003,1.98038
2004,1.98831
2005,1.99065
2006,1.96889
2007,1.92773
2008,1.88443
2009,1.85777
2010,1.77508
2011,1.70331
2012,1.63154
2013,1.55978
2014,1.48801
2015,1.42872
2016,1.38091
2017,1.34879
2018,1.31667
2019,1.27622
2020,1.22243
2021,1.16542
2022,1.10331
2023,1.04925
2024,0.98228
2025,0.92279
2026,0.87972
2027,0.84095
2028,0.80944
2029,0.79066
2030,0.77351
2031,0.75955
2032,0.75064
2033,0.74172
2034,0.74199
2035,0.75715
2036,0.79783
2037,0.85092
2038,0.92291
2039,0.90783
2040,0.90805
2041,0.91923
2042,0.93041
2043,0.93889
2044,0.92609
2045,0.91329
2046,0.90049
2047,0.8908
2048,0.88604
2049,0.90477
2050,0.9235
2051,0.94037
2052,0.94031
2053,0.92065
2054,0.90224
2055,0.89379
2056,0.88038
2057,0.8638
2058,0.84859
2059,0.84444
2060,0.84243
2061,0.85919
2062,0.89207
2063,0.92483
2064,0.95658
2065,0.98834
2066,1.02009
2067,1.03753
2068,1.04381
2069,1.03471
2070,1.02319
2071,0.99233
2072,0.9637
2073,0.9365
2074,0.9093
2075,0.8821
2076,0.86742
2077,0.86078
2078,0.85545
2079,0.86041
2080,0.86536
2081,0.87032
2082,0.87527
2083,0.88023
2084,0.87196
2085,0.8553
2086,0.83135
2087,0.80278
2088,0.77421
2089,0.74565
2090,0.71367
2091,0.68679
2092,0.64809
2093,0.6075
2094,0.56692
2095,0.52633
2096,0.49808
2097,0.48104
2098,0.49415
2099,0.53647
2100,0.61286
2101,0.7212
2102,0.8313
2103,0.95547
2104,1.09388
2105,1.25822
2106,1.39136
2107,1.53112
2108,1.64684
2109,1.69642
2110,1.72956
2111,1.74439
2112,1.74469
2113,1.71944
2114,1.67081
2115,1.62218
2116,1.57355
2117,1.52492
2118,1.47795
2119,1.44421
2120,1.41048
2121,1.39552
2122,1.39478
2123,1.41437
2124,1.45823
2125,1.50209
2126,1.54612
2127,1.59027
2128,1.63442
2129,1.67857
2130,1.72271
2131,1.76566
2132,1.79902
2133,1.81648
2134,1.81146
2135,1.79501
2136,1.77412
2137,1.74037
2138,1.67629
2139,1.61221
2140,1.54813
2141,1.4765
2142,1.40005
2143,1.32918
2144,1.26186
2145,1.20303
2146,1.14957
2147,1.09611
2148,1.04492
2149,1.01145
2150,0.99554
2151,0.99355
2152,1.01467
2153,1.05496
2154,1.10954
2155,1.17318
2156,1.23268
2157,1.28658
2158,1.3167
2159,1.32877
2160,1.32946
2161,1.33014
2162,1.33083
2163,1.33151
2164,1.3322
2165,1.33183
2166,1.32068
2167,1.28954
2168,1.25599
2169,1.19554
2170,1.13437
2171,1.09629
2172,1.01203
2173,0.95254
2174,0.91589
2175,0.85671
2176,0.8252
2177,0.79923
2178,0.78208
2179,0.76493
2180,0.75509
2181,0.74618
2182,0.73726
2183,0.74957
2184,0.77577
2185,0.81988
2186,0.85929
2187,0.9784
2188,1.07092
2189,1.16344
2190,1.25595
2191,1.34511
2192,1.42878
2193,1.5052
2194,1.56987
2195,1.61682
2196,1.66134
2197,1.68621
2198,1.70788
2199,1.72882
2200,1.75514
2201,1.77691
2202,1.81897
2203,1.84134
2204,1.8513
2205,1.83183
2206,1.79189
2207,1.74177
2208,1.71253
2209,1.7104
2210,1.72297
2211,1.75394
2212,1.79038
2213,1.83576
2214,1.88113
2215,1.88375
2216,1.84993
2217,1.8161
2218,1.78279
2219,1.74957
2220,1.71635
2221,1.68313
2222,1.64991
2223,1.61633
2224,1.58212
2225,1.5479
2226,1.51923
2227,1.50026
2228,1.48129
2229,1.46604
2230,1.45736
2231,1.44868
2232,1.44001
2233,1.43573
2234,1.4392
2235,1.44268
2236,1.44615
2237,1.44676
2238,1.44691
2239,1.44706
2240,1.44721
2241,1.45415
2242,1.47287
2243,1.49426
2244,1.5204
2245,1.54655
2246,1.55811
2247,1.56738
2248,1.57664
2249,1.5859
2250,1.59089
2251,1.58836
2252,1.57064
2253,1.54604
2254,1.51359
2255,1.48115
2256,1.4487
2257,1.42205
2258,1.40547
2259,1.39443
2260,1.3843
2261,1.37105
2262,1.35729
2263,1.35866
2264,1.39086
2265,1.43219
2266,1.48139
2267,1.5306
2268,1.5798
2269,1.62859
2270,1.67667
2271,1.72475
2272,1.77283
2273,1.80533
2274,1.83533
2275,1.86533
2276,1.89533
2277,1.91768
2278,1.92667
2279,1.91263
2280,1.88895
2281,1.8548
2282,1.81364
2283,1.76001
2284,1.70418
2285,1.64455
2286,1.58491
2287,1.53108
2288,1.48757
2289,1.46579
2290,1.46676
2291,1.52356
2292,1.5651
2293,1.63669
2294,1.73285
