HRS,MIN,WND_MEAN,WND_STD,PWR_MEAN,PWR_STD
8,35,5.294455918,0.163267772,14.02892525,2.354500476
8,40,5.617191533,0.118030318,15.47894712,2.451953786
8,45,5.809981959,0.06203159,16.66293503,1.947802527
8,50,5.80909571,0.06203159,16.65668111,1.946963091
8,55,5.862191576,0.055591682,17.03284599,1.899692451
9,0,5.797450234,0.106548566,16.6265351,2.525000103
9,5,5.537561048,0.143976215,15.11615487,2.559864229
9,10,6.16018344,0.199273702,19.48392026,4.091098069
9,15,6.077325369,0.227899999,18.84010316,4.1442459
9,20,5.916820297,0.245669794,17.71720563,3.899838546
9,25,5.659882539,0.251688157,16.20941531,3.410433812
9,30,5.852253983,0.271522053,17.37315487,3.929600847
9,35,5.825178632,0.27580916,17.22112751,3.895831504
9,40,5.848301746,0.276993807,17.36506428,3.956239191
9,45,5.677068772,0.263851576,16.34508447,3.51342557
9,50,5.671959775,0.253642544,16.28065221,3.444413358
9,55,5.639864376,0.237523898,16.05076479,3.291872925
10,0,5.616604663,0.21730105,15.85026117,3.133404286
10,5,5.680453827,0.195725917,16.1205379,3.103557587
10,10,5.674871221,0.166914586,15.9901812,2.898578797
10,15,5.658538053,0.133258108,15.78244938,2.621760598
10,20,5.681697,0.095764692,15.82980701,2.296176428
10,25,5.724415373,0.053318016,16.06378733,1.749756365
10,30,5.729933162,0.053318016,16.10151889,1.751719858
10,35,5.663843391,0.047377067,15.64418294,1.642014942
10,40,5.646354808,0.104634659,15.62140053,2.358150244
10,45,5.67384143,0.167926548,15.98750033,2.904302395
10,50,5.496081483,0.228434246,15.29785323,3.000363429
10,55,5.38340697,0.292974899,15.11279478,3.136326752
11,0,5.221527012,0.35582709,14.81774005,3.147804287
11,5,5.033243147,0.41602459,14.52036353,3.095291553
11,10,5.057459686,0.494226777,14.91638797,3.434016222
11,15,5.038417513,0.569624637,15.15745083,3.689919206
11,20,4.789504978,0.614646316,14.70513228,3.449556107
11,25,4.801087155,0.687489336,14.98814464,3.720675785
11,30,4.932495267,0.775731814,15.60809713,4.274684418
11,35,4.737857335,0.806282207,15.23962088,4.029299929
11,40,4.502503268,0.817470205,14.78753156,3.693401074
11,45,4.473698438,0.854870616,14.84717862,3.769216785
11,50,4.500735313,0.893424877,15.01494852,3.932843534
11,55,4.619616617,0.940723983,15.39934869,4.286344683
12,0,4.521739586,0.93326326,15.17492618,4.095349176
12,5,4.676143828,0.967194534,15.60318258,4.480797925
12,10,4.747350429,0.974489917,15.78952971,4.644472718
12,15,4.492568413,0.907778432,15.04189937,3.96618321
12,20,4.677871399,0.924164808,15.475884,4.333564253
12,25,4.747932609,0.912029795,15.59749987,4.420715686
12,30,4.732552434,0.879977345,15.46181332,4.278216443
12,35,4.744444544,0.851037658,15.39762223,4.197661748
12,40,4.713210883,0.813603152,15.20819245,4.012554071
12,45,4.69144421,0.778224031,15.04678691,3.855404456
12,50,4.630182844,0.737737731,14.78611801,3.624904342
12,55,4.533200955,0.694177961,14.45112561,3.347167788
13,0,4.528325724,0.667577867,14.35252022,3.256789112
13,5,4.567752771,0.649998832,14.36741027,3.253096442
13,10,4.892895101,0.673887752,15.1593551,3.825526791
13,15,4.818004204,0.643814758,14.87464819,3.594953327
13,20,4.92847508,0.64033445,15.12908089,3.764180958
13,25,5.112872154,0.647041271,15.65383661,4.131136975
13,30,5.410933982,0.667891364,16.72292969,4.905021278
13,35,5.432552672,0.654635033,16.75619868,4.899824283
13,40,5.356929989,0.630449995,16.38448484,4.597573384
13,45,5.452821084,0.626667562,16.73028868,4.821152142
13,50,5.00960252,0.561807935,15.04990061,3.610759772
13,55,5.282716335,0.577327826,15.92771191,4.194507026
14,0,5.253397138,0.558338987,15.75846933,4.051990366
14,5,6.082234363,0.62698476,20.11666533,6.958356937
